PCT,PrecinctName,AreaShort,CD,SD,HD
002,2151907002,LM-04,2,15,19
003,2184907003,SU-01,2,18,49
004,2151207004,BO-01,2,15,12
100,2181207100,SU-01,2,18,12
101,2181207101,SU-01,2,18,12
102,2181207102,SU-01,2,18,12
103,2181207103,SU-01,2,18,12
104,2181207104,SU-01,2,18,12
105,2181207105,SU-01,2,18,12
106,2181207106,SU-01,2,18,12
200,2181207200,LV-01,2,18,12
201,2181207201,LV-01,2,18,12
202,2181207202,LV-01,2,18,12
203,2181207203,LV-01,2,18,12
204,2181207204,LV-01,2,18,12
205,2181207205,LV-02,2,18,12
206,2181207206,LV-01,2,18,12
207,2181207207,LV-01,2,18,12
208,2181207208,LV-02,2,18,12
209,2181207209,LV-02,2,18,12
210,2181207210,LV-02,2,18,12
211,2181207211,LV-02,2,18,12
212,2181207212,LV-02,2,18,12
300,2171207300,LF-01,2,17,12
301,2171207301,LF-01,2,17,12
302,2171207302,LF-01,2,17,12
303,2171207303,LF-01,2,17,12
304,2171207304,LF-01,2,17,12
305,2171207305,LF-01,2,17,12
306,2171207306,LF-01,2,17,12
307,2171207307,LF-01,2,17,12
308,2171207308,LF-01,2,17,12
309,2171207309,LF-02,2,17,12
310,2171207310,LF-02,2,17,12
311,2171207311,LF-02,2,17,12
312,2171207312,LF-02,2,17,12
313,2171207313,LF-02,2,17,12
314,2171207314,LF-02,2,17,12
315,2171207315,LF-02,2,17,12
316,2171207316,LF-02,2,17,12
400,2171907400,ER-01,2,17,19
401,2171907401,ER-01,2,17,19
402,2171907402,ER-01,2,17,19
403,2171907403,ER-01,2,17,19
404,2171907404,ER-01,2,17,19
405,2171907405,ER-01,2,17,19
406,2171907406,ER-01,2,17,19
407,2171907407,ER-01,2,17,19
408,2171907408,ER-01,2,17,19
500,2181207500,LF-02,2,18,12
501,2181207501,LF-02,2,18,12
502,2181207502,LF-02,2,18,12
503,2181207503,BO-11,2,18,12
504,2181207504,BO-11,2,18,12
505,2181207505,BO-11,2,18,12
506,2181207506,GN-01,2,18,12
507,2181207507,GN-01,2,18,12
508,2181207508,GN-01,2,18,12
509,2181207509,GN-01,2,18,12
510,2181207510,GN-01,2,18,12
600,2171107600,LM-01,2,17,11
601,2171107601,LM-01,2,17,11
602,2171107602,LM-01,2,17,11
603,2171107603,LM-01,2,17,11
604,2171107604,LM-01,2,17,11
605,2171107605,LM-02,2,17,11
606,2171107606,LM-02,2,17,11
607,2171107607,LM-02,2,17,11
608,2171107608,LM-02,2,17,11
609,2171107609,LM-02,2,17,11
610,2171107610,LM-02,2,17,11
611,2171107611,LM-02,2,17,11
612,2171107612,LM-01,2,17,11
613,2171107613,LM-01,2,17,11
614,2171107614,LM-03,2,17,11
615,2171107615,LM-03,2,17,11
616,2171107616,LM-03,2,17,11
617,2171107617,LM-07,2,17,11
